"","logFC.genotypeD2","logFC.genotypeD6","logCPM","LR","PValue","FDR"
"oases6_k37_Locus_4010_Transcript_6_1",3.07898239249932,5.47843026860754,2.2189066044707,17.1262483266714,0.000191021577835915,0.00543583759457124
"oases6_k49_Locus_5427_Transcript_3_1",-1.91319130982983,2.61236274733744,2.86692700921625,17.1254659492959,0.000191096317934073,0.00543583759457124
"oases6_CL677Contig1_1",-4.04552474584005,2.49291061405725,1.18992282805937,17.1242804603081,0.000191209622801432,0.00543583759457124
"oases6_k25_Locus_27870_Transcript_4_1",-1.82221061190741,2.09333975055029,5.07195277265747,17.107588835198,0.00019281210015849,0.00547714806282904
"oases6_k43_Locus_27686_Transcript_4_1",-0.840416464867491,3.47207350706809,1.31132629711553,17.1030305170069,0.000193252050778587,0.00548539663947609
"oases3_k49_Locus_12480_Transcript_17_1",-3.25426481360375,-2.76049150146075,5.50555613838953,17.0913400066472,0.000194384966193568,0.00551328682538029
"oases6_k49_Locus_8042_Transcript_2_1",1.84945174118412,5.62046110274006,1.76424674808722,17.0833986461927,0.00019515834113149,0.00553094423826516
"oases3_k43_Locus_28354_Transcript_1_1",-0.802492475047789,-4.15495002380451,4.43973461364159,17.0810490611876,0.000195387746412878,0.00553316974841659
"oases2_k31_Locus_12649_Transcript_1_1",-0.328849640669972,-3.76338971281331,3.11985534972003,17.0654683888531,0.000196915827043122,0.00557214052866699
"oases6_CL12074Contig1_1",4.00247293014403,6.86375213043365,1.6437779876989,17.0558261349574,0.000197867475408843,0.00559463709978248
"oases6_k49_Locus_21224_Transcript_1_1",1.46526833501964,6.42064616315577,1.86769354632355,17.0543259440874,0.0001980159505772,0.00559463709978248
"oases2_k49_Locus_6161_Transcript_1_1",-1.73094542880214,-2.71347031452029,5.68907114327794,17.0473818775305,0.000198704663472443,0.00560977376714773
"oases3_k31_Locus_12516_Transcript_8_1",0.407726880324023,-4.33120152115545,10.2566196045742,17.0418256433614,0.000199257455798177,0.00562105282806658
"oases6_k25_Locus_8882_Transcript_16_2",-7.04290379419064,-2.29558454052466,1.41437909895999,17.0175736301686,0.000201688361826197,0.00568525541372185
"oases2_k31_Locus_6567_Transcript_3_1",2.43042291183413,-1.08316070648526,4.19297025738932,17.0138633123186,0.000202062873072245,0.0056914375915349
"oases6_k49_Locus_19729_Transcript_4_1",-3.08941553428359,4.53463814828191,1.73242167462568,17.0098447561635,0.000202469281730672,0.0056985080344658
"oases6_k43_Locus_885_Transcript_20_1",-0.777884748704134,2.28989198687362,5.35721293016536,17.0079317248359,0.000202663039421444,0.00569958715084557
"oases2_CL10149Contig1_1",3.00753804057699,-3.64909770750645,0.824497330898204,17.005798283875,0.000202879339581615,0.00570129809998204
"oases6_CL4291Contig1_1",-1.22529781536959,3.39182297934623,1.82581132575355,16.9969801828082,0.000203775819702819,0.00572210615310987
"oases2_k25_Locus_40267_Transcript_1_1",-0.087555894601936,-6.35313453887203,2.15620650552831,16.9834150650471,0.000205162638973568,0.00575664074910303
"oases6_k37_Locus_6488_Transcript_3_1",-1.86021880627262,2.27990521338723,4.60666162152393,16.9802358163529,0.000205489029850312,0.00575872376745907
"oases3_CL14559Contig1_1",-1.05794645561781,-3.96135067354728,3.85101669662549,16.9796333990546,0.00020555093424601,0.00575872376745907
"oases3_k43_Locus_40546_Transcript_1_1",-7.05192399966062,-4.20417770568356,1.24504454114975,16.9699873836924,0.000206544702530396,0.0057821479968681
"oases6_CL13812Contig1_1",0.30462618458148,2.61264923588571,6.53846581156801,16.959518036802,0.00020762873139317,0.00580806137786553
"oases6_CL4887Contig1_1",2.43691418730806,6.84016450401863,1.12768403973349,16.9444918617304,0.000209194538886101,0.00584740192421492
"oases6_k49_Locus_18839_Transcript_1_1",0.295235648676799,5.10753710582631,0.770967597077143,16.9371191039135,0.000209967132383274,0.00586452752923976
"oases3_k49_Locus_14413_Transcript_8_1",1.74236691417006,-2.97018653319298,3.0417101075423,16.9308909550087,0.000210622004797582,0.00587573625173194
"oases6_k49_Locus_5676_Transcript_8_1",-2.17491574161812,2.26255107906205,2.10013419514972,16.9302560624233,0.000210688876585703,0.00587573625173194
"oases6_k43_Locus_5821_Transcript_1_1",0.0563435761013284,4.34528995393521,1.55995273374516,16.9245526197204,0.000211290560062633,0.00588803853280923
"oases6_k43_Locus_8447_Transcript_2_1",-7.46664866963027,-1.32434547214185,1.61997198604167,16.9205201733656,0.000211716998740305,0.00589544228914443
"oases3_k43_Locus_803_Transcript_1_1",-1.57356464942258,4.29780047046316,1.02132476312958,16.9183481880247,0.000211947046741766,0.00589737029223125
"oases3_k43_Locus_13094_Transcript_1_1",-0.586973200749757,2.854889558177,3.28015991049871,16.9095167514394,0.000212885014569895,0.00591897811927351
"oases6_k25_Locus_2935_Transcript_6_1",2.03141084732122,5.25108918646827,1.98067297943039,16.8899730127755,0.000214975496437947,0.00597257301580971
