"Gene" "Flower" "Leaf" "Stem"
"TRINITY_DN74548_c1_g3_i1" 0 0 0
"TRINITY_DN74548_c1_g4_i1" 0 0 0
"TRINITY_DN74548_c1_g2_i7" 0 0 0
"TRINITY_DN74548_c1_g3_i2" 0 0 0
"TRINITY_DN74552_c1_g1_i2" 0 0 0
"TRINITY_DN74552_c1_g1_i3" -1 0 0
"TRINITY_DN74552_c1_g1_i6" 0 0 0
"TRINITY_DN74552_c1_g1_i8" 0 0 0
"TRINITY_DN74552_c1_g1_i10" 0 0 0
"TRINITY_DN74552_c1_g1_i11" 0 0 0
"TRINITY_DN74552_c1_g1_i17" 0 0 0
"TRINITY_DN74552_c1_g1_i18" 0 0 0
"TRINITY_DN74564_c0_g1_i3" 0 0 0
"TRINITY_DN74564_c0_g1_i7" 0 1 0
"TRINITY_DN74586_c0_g1_i11" 0 0 0
"TRINITY_DN74586_c0_g1_i12" 0 0 0
"TRINITY_DN74586_c0_g1_i13" 0 0 0
"TRINITY_DN74586_c0_g2_i3" 0 0 0
"TRINITY_DN74586_c0_g1_i16" 0 0 0
"TRINITY_DN74541_c0_g1_i1" 1 0 0
"TRINITY_DN74541_c1_g3_i1" 0 0 0
"TRINITY_DN74541_c1_g6_i1" 1 0 0
"TRINITY_DN74541_c1_g4_i2" 1 0 0
"TRINITY_DN74577_c0_g2_i1" 0 0 0
"TRINITY_DN74577_c1_g1_i1" 0 0 0
"TRINITY_DN74577_c1_g2_i1" 0 0 0
"TRINITY_DN74577_c1_g3_i2" 1 0 0
"TRINITY_DN74577_c1_g3_i3" 1 0 0
"TRINITY_DN74577_c1_g3_i4" 1 0 0
"TRINITY_DN74577_c1_g3_i5" 1 0 0
"TRINITY_DN74577_c1_g3_i6" 1 0 0
"TRINITY_DN74577_c1_g2_i5" 1 0 0
"TRINITY_DN74577_c1_g3_i7" 1 0 0
"TRINITY_DN74581_c1_g2_i1" 0 0 0
"TRINITY_DN74581_c1_g1_i4" 0 0 0
"TRINITY_DN74581_c1_g2_i7" 0 0 0
"TRINITY_DN74581_c1_g1_i6" 0 0 0
"TRINITY_DN74581_c1_g2_i13" 0 0 0
"TRINITY_DN74581_c1_g1_i9" 0 0 0
"TRINITY_DN74581_c1_g1_i10" 0 0 0
"TRINITY_DN74581_c1_g2_i17" 0 0 0
"TRINITY_DN74581_c1_g1_i12" 0 0 0
"TRINITY_DN74581_c1_g1_i14" 0 0 0
"TRINITY_DN74581_c1_g2_i23" 0 0 0
"TRINITY_DN74581_c1_g2_i24" 0 0 0
"TRINITY_DN74581_c1_g2_i25" 1 0 0
"TRINITY_DN74506_c0_g1_i1" 0 0 0
"TRINITY_DN74506_c0_g2_i1" 0 0 0
"TRINITY_DN74506_c0_g2_i4" 0 0 0
"TRINITY_DN74530_c1_g1_i2" 0 0 0
"TRINITY_DN74530_c1_g1_i7" 0 0 0
"TRINITY_DN74530_c1_g1_i8" 0 0 0
"TRINITY_DN74530_c1_g1_i9" 0 0 0
"TRINITY_DN74530_c1_g3_i1" 0 0 0
"TRINITY_DN74530_c1_g1_i10" 0 0 0
"TRINITY_DN74530_c1_g3_i3" 0 0 0
"TRINITY_DN74546_c0_g1_i1" 0 0 0
"TRINITY_DN74546_c0_g1_i2" 0 0 0
"TRINITY_DN74546_c0_g1_i3" 0 0 0
"TRINITY_DN74546_c0_g1_i6" 0 0 0
"TRINITY_DN74546_c0_g3_i3" 0 0 0
"TRINITY_DN74546_c1_g1_i2" 0 0 0
"TRINITY_DN74546_c1_g1_i4" 0 0 0
"TRINITY_DN74546_c1_g1_i6" 0 0 0
"TRINITY_DN74546_c1_g1_i7" 0 0 0
"TRINITY_DN74546_c1_g1_i13" 0 0 0
"TRINITY_DN74546_c1_g1_i14" 0 0 0
"TRINITY_DN74546_c1_g1_i15" 0 0 0
"TRINITY_DN74546_c1_g1_i16" 0 0 0
"TRINITY_DN74546_c1_g1_i18" 0 0 0
