"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases3_k31_Locus_2805_Transcript_7_1",40,25.7465,4,6,126.881,1,1,17,0,22,0,0,440.852,565.094,549.225,415.532,175.5728,318.786
"oases3_k31_Locus_280_Transcript_4_1",7.45664,1.20147,0,6,10.2809,0,1,0,0,1.93003,30,3,39.0646,13.9604,105.027,18.4354,37.9124,49.5678
"oases3_k31_Locus_2821_Transcript_9_1",91.7835,15.4272,0,11.7293,538.756,5.80429,10.4037,15.3762,2.36067,233.843,43.342,6.7425,608.973,330.445,615.669,309.968,156.4801,299.538
"oases3_k31_Locus_2824_Transcript_16_1",1067,309,122,100,1159,46,88,47,91,365,239,62,3049.43,1915,2713,2557,1061,1924
"oases3_k31_Locus_2824_Transcript_16_2",298,201,39,58,331,67,44,48,79,571,287,54,2041,1397,1386,1276,421,1501
"oases3_k31_Locus_28268_Transcript_4_1",0,1,0,0,7,3,0,0,2,19,0,0,1214.98,235.211,12.1859,10.4007,3.26152,1083.121
"oases3_k31_Locus_2827_Transcript_5_1",48.1607,41.9542,3,3,75.8185,9,16,17,14,21,1,2,304.774,255.954,284.816,229.834,117.2578,295.6
"oases3_k31_Locus_2837_Transcript_4_1",285.385,281.223,105.249,75.3836,283.576,82.9832,252.902,106.386,148.072,532.521,331.795,185.829,418.702,172.782,461.894,274.026,183.3468,219.5316
"oases3_k31_Locus_2839_Transcript_1_1",55,11,1,3,41,1,1,10,5,4,0,0,891,652,900,373,247,610
"oases3_k31_Locus_28417_Transcript_6_1",27,89,173,1,18,8,51,6,111,61,193,9,2401,2305,10,109,2,1406
"oases3_k31_Locus_28436_Transcript_6_1",91.6437,82,49,37.9431,169.158,54.1963,73.0876,0,6.67572,20.1567,1,55,112.19,28,66.8001,45,8.5057,18.49021
"oases3_k31_Locus_2844_Transcript_2_1",4,5,1,0,9,1,0,0,3,3,0,2,169,164,279,83,58,148
"oases3_k31_Locus_28504_Transcript_1_1",18,19,0,5,32,3,0,53,4,24,31,2,31,37,27,27,10,18
"oases3_k31_Locus_2851_Transcript_6_1",258,61,4,25,494,20,7,7,7,100,57,17,680,288.983,1012,401.996,234,324
"oases3_k31_Locus_2866_Transcript_1_1",598,51,7,37,297,24,3,15,6,29,7,36,512,394,1085,1412,508,222
"oases3_k31_Locus_2867_Transcript_29_1",11.4032,1.54113,0,6.72756,41.2105,0,0,0,3.40831,0,0,1.97781,170.709,53.6228,261.219,100.879,103.054,168.4016
"oases3_k31_Locus_28694_Transcript_14_1",29,12.5333,3,91.2717,571.186,80,246,21.1008,1,25.9721,0.999818,21.4546,142,0,78,1,22,49
"oases3_k31_Locus_2869_Transcript_12_1",55.7285,28.3474,11.5549,9.42403,207.378,7,24,6,21,41.5211,72,4,370.723,156.804,278.15,105.039,88.0756,162.1849
"oases3_k31_Locus_28704_Transcript_3_1",0,0,0,0,13,0,0,0,0,0,0,0,85.9208,12.1601,83.8974,10.4346,22,62.5579
"oases3_k31_Locus_2875_Transcript_6_1",7,0,0,0,0,0,0,0,0,0,0,1,58,42,35,35,35,33.0366
"oases3_k31_Locus_28831_Transcript_2_1",3,0,0,1,6,0,0,0,0,1,0,0,38,30,27,11,8,20
"oases3_k31_Locus_2884_Transcript_4_1",176.183,33.7576,11,48.2837,74.368,3,6.41646,41.5225,16.8622,32.5968,130,11.1049,343.263,201.341,1131.64,1199.34,574.953,255.752
"oases3_k31_Locus_2887_Transcript_1_1",120,135,11,69,764,39,8,42,15,275,3,18,353,239,483,183,93,229
"oases3_k31_Locus_2893_Transcript_3_1",629.599,167.795,25.3734,66.5467,1174.56,9.33164,26.5152,63.305,93.2211,469.94,181.254,44.5828,2305.12,2166.58,2050.53,1901.55,795.835,2177.14
"oases3_k31_Locus_2894_Transcript_1_1",56,18,5,3,41,0,1,6,10,12,0,3,229,191,210,240,103,191
"oases3_k31_Locus_2897_Transcript_15_2",61.2243,27.5056,10,5,65.7032,1,1.72319,0,0,8,8,3.10771,344.961,280.186,349.653,282.292,113.7461,229.002
"oases3_k31_Locus_28993_Transcript_1_1",1,20,1,3,18,10,1,1,0,108,0,0,241.944,140,10,0,4,117
"oases3_k31_Locus_28_Transcript_1_1",199,11,8,11,368,1,7,2,4,13,1,7,11,18,189,86,72,12
"oases3_k31_Locus_2905_Transcript_9_1",34,4,6,6,40.6691,0,1,0,0,8,0,2,39.7065,20.465,56.0078,66.158,26.5142,45.9224
"oases3_k31_Locus_2907_Transcript_15_1",1.27141,0,0,0,11.589,0,0,0,0,2.62187,0,0,95.5335,10.9338,83.4938,13.45,27.6104,103.3657
"oases3_k31_Locus_2908_Transcript_47_1",20.9038,12.3887,2,8,62.4604,1,3,4,3,17.8601,0,4,262.487,42.9164,123.959,50.4381,43.1653,201.6234
"oases3_k31_Locus_2908_Transcript_47_2",57.9498,20.7831,1.69828,4.45451,9.29716,0,0,2.77853,0,3.63983,0,0,824.927,616.363,538.78,382.125,171.4604,436.396
"oases3_k31_Locus_2910_Transcript_1_1",947,194,105,93,432,37,251,229,208,1243,166,55,2137,1192,701,579,237,1205
"oases3_k31_Locus_29114_Transcript_5_2",0,6.19274,1.34551,0,0,0,0,0,0,6.22079,0,0,837.328,522.054,30.8197,7.65101,10.39848,501.27
"oases3_k31_Locus_29183_Transcript_2_1",4,1,0,5,9,0,0,0,0,3,34,0,371,487,536,993,121,331
"oases3_k31_Locus_29205_Transcript_2_1",8,1,1,0,31.6165,1,0,1,0,0,0,0,216.293,10,274.565,16,80.8626,126.3031
"oases3_k31_Locus_29217_Transcript_1_1",16,6,8,1,50,0,3,3,7,11,0,3,104,127,71,130,23,57
"oases3_k31_Locus_29230_Transcript_1_1",7.08302,0.845633,0,1,40.1484,3.75105,0,0,0,0,0,0.493881,102.89,0,120.862,2.48086,26.02076,24.34708
"oases3_k31_Locus_29361_Transcript_1_1",34,3,2,0,41,0,0,2,0,0,0,1,259,365,463,483,129,205
"oases3_k31_Locus_29364_Transcript_2_1",9,2,3,0,6,0,2,0,4,3,1,0,163,138.341,18,13.0514,9,82
"oases3_k31_Locus_2938_Transcript_32_1",2.83969,0,0,10,41.6057,9.80333,4.97645,3.40078,2,13.9469,5.70953,0,269.984,6.99189,223.857,12.5533,100.3028,143.8077
"oases3_k31_Locus_2942_Transcript_3_1",470,126,67,36,469,24,35,33,72,285,102,51,1346,921,1281,1532,532,946
"oases3_k31_Locus_29461_Transcript_2_1",363.944,99.798,39.3487,23.1138,451.883,13,22,26.8627,11,272.403,104,13.0268,621.552,584.02,646.484,567.562,171.9843,395.557
"oases3_k31_Locus_29467_Transcript_2_1",35,15,20,1,29,2,2,5,1,17,22,1,243,259,140,122,34,155
"oases3_k31_Locus_29469_Transcript_3_1",40,11,1,40,77,0,1,30,2,45,70,13,19,3,5,1,11,6
"oases3_k31_Locus_2946_Transcript_8_1",124.044,14.4426,2.40269,10.3834,143.833,3.43786,5.84506,6.25277,18.216,21.9143,0,5.05274,714.366,297.258,540.798,314.141,289.055,622.857
"oases3_k31_Locus_2949_Transcript_7_1",3.59292,0,0,0,8.26747,0,0,0,0,1.18237,0,0,48.2403,0,83.4124,11.548,23.88459,66.5422
"oases3_k31_Locus_2954_Transcript_10_2",9.24471,5.32883,0,0,31,1,0,0,0,3.58384,0,0,40.2542,42.2793,139.235,13.844,46.3778,40.3764
"oases3_k31_Locus_295_Transcript_9_1",8,0,0,0,24,1,0,0,0,0,0,0,59.6414,0,57.5754,0,21.24201,68.5593
"oases3_k31_Locus_29607_Transcript_3_1",10,2,0,1.00147,18,1,1,0,0,1,0,1,99.7163,122.717,39.5348,60.5875,4,51
"oases3_k31_Locus_29615_Transcript_1_1",3,1,0,17,37,1,0,3,1,10,0,0,5,1,44,0,3,8
"oases3_k31_Locus_2961_Transcript_9_1",7.26119,2.10405,0,0,0,2,2,1.76553,0,1,0,3.17715,118.372,25.408,130.378,64.2832,61.0094,106.2403
"oases3_k31_Locus_29681_Transcript_1_1",0,0,0,0,28,2,0,1,0,3,0,0,41,7,58,11,4,5
"oases3_k31_Locus_29694_Transcript_1_1",25,8,1,1,6,7,3,2,1,129,0,3,137.414,33,21,0,1,65.2619
"oases3_k31_Locus_29695_Transcript_2_1",4,3,0,0,0,2,0,0,0,1,0,0,76,40,7,0,1,59
"oases3_k31_Locus_296_Transcript_8_1",192.598,50.4648,37.1761,8.56027,294.914,3.83198,10.7024,58.4335,7.87039,20.4703,41.8901,12.8491,1837.56,2610.18,2101.13,1240.93,855.012,1653.119
"oases3_k31_Locus_29755_Transcript_2_1",19,38,32,1,36,0,4,2,23,74,0,1,31,144,37,7,20,31
"oases3_k31_Locus_2979_Transcript_3_1",151,60,15,7,126,14,14,23,12,86,0,10,1125.33,1120,853,886,354,932
"oases3_k31_Locus_298_Transcript_3_1",996,11,0,9,231,1,1,7,2,21,148,17,97,52,1147,833,305,85
"oases3_k31_Locus_29916_Transcript_3_1",18,2,0,5,20,8,0,0,0,1,0,0,47,28,49,2,8,31
"oases3_k31_Locus_2993_Transcript_18_1",165.298,255.045,170.804,12,57,58.4834,40,18,127.607,97.0834,65,11,1541.09,1495.11,252.28,202.127,89.8831,781.908
"oases3_k31_Locus_29969_Transcript_2_1",411,595,318,120,1057,78,299,67,434,1547,489,180,279,416,243,284,92,153
"oases3_k31_Locus_3005_Transcript_3_1",42.6141,10.1447,0,36.3434,258.538,10.254,6.70977,57.4384,24.1003,54.5104,99.5709,0,1344.61,147.332,3520.83,179.617,1507.132,846.741
"oases3_k31_Locus_3007_Transcript_28_1",31.1632,9.04681,2.25135,0,15.6782,0,0,2,17,20.1251,0,2.18972,93.8818,128.435,68.7744,73.2459,18.84631,37.1619
"oases3_k31_Locus_30088_Transcript_10_1",96.7088,56.8124,5,0,8,4,1,1,0,20,53,9,937.881,882.913,175.327,250.023,46.7679,586.746
"oases3_k31_Locus_30159_Transcript_4_1",0,4,0,4,0,2,4,3,0,14,0,0,147,52,9,6,2,178
"oases3_k31_Locus_30187_Transcript_2_1",0,0,0,0,13,0,0,0,0,0,0,0,32.2428,9.28179,56.2245,0,20.49821,23.32958
"oases3_k31_Locus_3020_Transcript_3_1",1599,40,26,1126,16689,25,29,1260,28,40,30,938,46,88,59399.5,46921.8,22873,1
"oases3_k31_Locus_30217_Transcript_1_1",19,26,29,0,3,3,24,0,8,59,1,1,287,286,32,8,6,222
"oases3_k31_Locus_3022_Transcript_10_1",307.438,14.3363,4,21.491,350.375,1,2,4.36394,1,48.1505,41,7,623.575,270.853,1438.9,839.299,469.674,501.252
"oases3_k31_Locus_3023_Transcript_9_1",111,22,6,6.71657,7.80544,1,4,8,1,42,0,14,263,156,205,652,156.708,279
"oases3_k31_Locus_30276_Transcript_1_1",10,112,80,88,107,90,720,47,181,178,44,31,9,1,2,0,3,5
"oases3_k31_Locus_30285_Transcript_8_1",16.7941,4,0,30.4328,26.3021,0,0,18.4683,0,58.619,0,6.49431,0,0,0,0,1,0
"oases3_k31_Locus_30321_Transcript_1_1",2,1,0,2,5,3,11,0,2,6,0,0,164.182,17.9685,29.1584,3.61152,7,106.384
"oases3_k31_Locus_30361_Transcript_1_1",18,7,21,12,52,3,32,10,23,16,1,5,6,3,6,0,8,4
"oases3_k31_Locus_30409_Transcript_3_1",885,567,115,11,154,192,33,15,25,696,640,36,2323,1824,191,408,44,1124
"oases3_k31_Locus_30440_Transcript_1_1",0,0,0,0,3.15077,0,0,0,0,0,0,0,44.3787,33.314,48.679,16.2563,10.9933,47.988
"oases3_k31_Locus_30502_Transcript_2_1",1,1,1,1,3,0,7,0,20,1,37,0,86,87,90,5,26,67
"oases3_k31_Locus_3058_Transcript_18_1",2.48847,0,4.89106,0,40.8064,0,11.2579,0,0,0,0,0,232.271,120.088,163.065,106.418,54.5548,120.0926
"oases3_k31_Locus_306_Transcript_72_1",49,30,4,26,65,4,2,46,12,48,0,14,606,406,792,664,397,373
"oases3_k31_Locus_30735_Transcript_3_1",5,13,6,2,0,5,4,1,6,6,8,1,2146,299,164,117,37,852
"oases3_k31_Locus_30747_Transcript_1_1",2,5,10,1,0,0,1,0,0,14,0,0,304,137,11,4,6,206
"oases3_k31_Locus_30767_Transcript_1_1",750.188,17.0861,8,26.4925,1896.7,48.3892,36.171,41.1299,4.90339,107.755,51.7432,9.18519,289.798,101.733,236.011,88.3525,42.8264,138.0798
"oases3_k31_Locus_3083_Transcript_5_1",358.382,29.8227,4.18406,30.1419,462.313,13.7321,8.43817,50.3147,6.31738,167.309,1.00156,8.56301,430.319,517.151,1290.17,1070.94,279.29,246.247
"oases3_k31_Locus_3096_Transcript_9_2",4,3,0,2,17,0,1,0,0,1,0,0,56,0,47,4.31469,15,44
"oases3_k31_Locus_31050_Transcript_1_1",4,2,0,0,0,0,0,0,0,0,0,0,35,14,24,1,10,13
"oases3_k31_Locus_31076_Transcript_9_1",0,21,18,0,0,6,5,1,21,14,109,2,757,1025,5,2,5,446
"oases3_k31_Locus_3107_Transcript_3_1",54,61,17,16,76,4,22,11,37,37,6,5,742,512,565,370,263,454
"oases3_k31_Locus_3110_Transcript_11_1",586.102,1976.06,134,189.968,1075.08,451.963,425.77,515.915,213.686,9034.35,54,320.603,1343.41,684.525,524.156,247.926,189.8296,779.779
"oases3_k31_Locus_31176_Transcript_2_1",0,0,0,0,3,0,0,0,0,0,0,0,11.7507,14.4642,0,1.64654,7,55.1708
"oases3_k31_Locus_3121_Transcript_9_1",135,90,17,14,116,13,16,16,27,45,47,11,733,636,662,664,247,561
"oases3_k31_Locus_3121_Transcript_9_2",19.2724,0,2.738,5.3782,266.123,3,9.21137,3.03178,11.4793,10.3717,22.3437,0,595.607,10.9879,1838.28,56.8004,787.846,629.398
"oases3_k31_Locus_3126_Transcript_1_1",125,360,8,95,1539,82,6,169,6,616,26,55,10801,7658.94,11063,3704,3559,7119
"oases3_k31_Locus_31292_Transcript_6_1",7,2,1,0,0,0,0,1,1,6,0,0,247,111,2,3,1,123
"oases3_k31_Locus_312_Transcript_4_1",158.251,65.4133,16.8955,29.1433,718.283,9.48934,24.822,21.846,25.2192,316.764,134.287,26.0443,3286.35,1261.39,2487.94,966.454,585.323,1638.382
"oases3_k31_Locus_3132_Transcript_2_1",28.0828,70.6865,6,4,55.9009,47,10,15,9,98.518,113,21,265.912,170.189,167.309,124.573,64.3621,201.9821
"oases3_k31_Locus_31346_Transcript_1_1",596.258,122.995,53.35,87.4333,1105.56,23,24.8879,79.8859,69.429,976.232,188,30.4953,5135.79,2606.7,3440.8,1889.08,776.483,2530.12
"oases3_k31_Locus_31362_Transcript_1_1",0,0,0,0,6,0,0,0,0,0,0,0,14.2447,0,17,0,1.24658,13.68383
"oases3_k31_Locus_31379_Transcript_4_1",39,5,0,40,72,1,0,13,2,14,0,4,0,0,0,0,6,0
"oases3_k31_Locus_3140_Transcript_2_1",256,734,225,31,238,71,398,31,726,914,327,43,2661,2901,433,720,209,1715
"oases3_k31_Locus_31433_Transcript_1_1",1157,690,85,217,2167,196,35,57,26,298,220,40,5445.44,6070.11,5111.74,4330.79,988,2990.77
"oases3_k31_Locus_3144_Transcript_5_1",50,779,129,6,29,232,116,17,75,866,3,13,1557,767,37,2,11,595
"oases3_k31_Locus_31497_Transcript_2_1",4,30,5,0,10,2,5,0,6,34,0,0,990,707,24,1,14,575
"oases3_k31_Locus_31586_Transcript_3_1",43.8669,64.1876,4,54.61,217.208,47.0844,4,36.1528,7,396.214,6,37,120.901,30.96,62.4821,8.51608,13.16398,100.3463
"oases3_k31_Locus_31629_Transcript_4_1",42,177,36,4,76,53,36,7,50,115,79,0,655.835,299.931,90,26,19,298.529
"oases3_k31_Locus_31666_Transcript_3_1",0,0,0,0,11,0,0,0,0,0,0,0,36,20,34,18,9,14
"oases3_k31_Locus_3169_Transcript_11_1",124,14,7,13,131,1,0,8,3,19,2,10,425,728,792,1155,439,370
"oases3_k31_Locus_31739_Transcript_1_1",0,6,0,1,3,0,0,0,0,5,0,0,50,26,12,3,4,21
"oases3_k31_Locus_31757_Transcript_1_1",106,177,27,6,69,45,13,0,19,106,85,17,456,405,238,257,69,255
"oases3_k31_Locus_31775_Transcript_3_1",6,5,10,0,88,1,9,3,4,16,0,0,92,11,51,4,6,44
"oases3_k31_Locus_3182_Transcript_2_1",96,331,9,20,368,24,8,25,15,101,6,45,1671,2465,1208,1215,541,790
"oases3_k31_Locus_3186_Transcript_1_1",8,0,0,0,7,0,0,4,0,0,1,2,0,1,371,266,101,0
"oases3_k31_Locus_31877_Transcript_4_1",414.365,107.367,78.971,47,670.474,25,47,42.9467,49.5604,382.358,203.439,35.982,791.131,592.42,488.971,435.669,108.2548,389.793
"oases3_k31_Locus_3190_Transcript_14_2",22.1283,5.52937,5,29.8075,96.5451,5,16,0,0,16.4589,1,19.4534,36.3264,3.71005,45.7694,33.5945,22.34717,12.85169
"oases3_k31_Locus_3192_Transcript_6_1",648.653,502.934,90,145.148,613.317,111,291.614,310.642,256.879,1031.66,500,241.939,1058.29,563.18,883.858,816.647,493.339,709.852
"oases3_k31_Locus_31930_Transcript_3_1",0,0,0,0,3.37456,0,0,0,0,0,0,0,71.8373,21.2275,59.9617,26.2841,23.13451,44.3449
"oases3_k31_Locus_3193_Transcript_1_1",7,7,2,0,18,1,2,0,7,5,0,0,833,1011,447,369,158,578
"oases3_k31_Locus_3194_Transcript_1_1",291,40,22,18,148,5,17,38,40,135,25,41,736,513,896,1038,371,410
"oases3_k31_Locus_31_Transcript_8_1",58.3881,1.2007,1.19719,35.9648,1005.53,2.43013,0,71.4735,0,2,0,2.16237,0,0,1211.54,40.159,438.74,0
"oases3_k31_Locus_32025_Transcript_1_1",16,25,13,34,21,2,11,9,4,81,0,7,0,2,1,2,7,2
"oases3_k31_Locus_32053_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,27,25,32,14,6,22.0268
"oases3_k31_Locus_3208_Transcript_81_2",1.2063,27.4897,1,0,0,0,2.68701,3.96775,0,6.45578,0,2,366.952,548.889,59.0997,54.7752,41.5706,366.671
"oases3_k31_Locus_3208_Transcript_81_4",1.59309,0,0,0,0,0,0,0,2,0,0,0,50.0187,63.2437,21.2816,9.17566,4.03687,21.7976
"oases3_k31_Locus_32090_Transcript_5_1",0,0,1,4,2,0,0,0,0,0,0,0,479,24,7,6,6,181
"oases3_k31_Locus_320_Transcript_21_1",72.8588,30.149,2.25137,28.7394,304.292,11.002,27.4168,28.4041,20.6302,240.782,64.5248,24.3317,312.778,134.008,339.705,140.992,95.6842,174.8108
"oases3_k31_Locus_3212_Transcript_2_1",245,69,20,6,290,21,7,12,9,74,27,5,836,680,1118,1049,370,636
"oases3_k31_Locus_3213_Transcript_10_1",672.518,154.284,54.0561,98.5216,862.483,16,28,20.3922,7.90419,46.5482,35.0038,39.2493,1760.22,1029.76,1726.75,1329.11,528.386,883.484
"oases3_k31_Locus_32243_Transcript_1_1",2,5,7,0,5,0,4,0,8,4,1,0,820,1192,2,4,1,591
"oases3_k31_Locus_3226_Transcript_58_1",14.4098,3,3,3,14,0,1,1,0,5,0,0,63.6826,38.4766,47.5585,40.0867,17.929,35.6304
"oases3_k31_Locus_3226_Transcript_58_2",13.6913,4.126,3,2,19.6098,1,0,1,3,8.23408,0,0,75.3247,14.1187,80.5657,34.7609,22.26475,39.7708
"oases3_k31_Locus_3232_Transcript_3_1",17.1161,5.71328,0,0,7.90071,1,1.39641,0,1,1.1207,0,1.14955,156.849,80.6964,75.6938,37.0811,29.6455,222.222
"oases3_k31_Locus_3232_Transcript_3_2",54,28,12,5,30,11,10,4,6,40,1,3,323,172,111,108,37,148
"oases3_k31_Locus_3234_Transcript_7_2",0,0,0,1,11,0,0,0,0,0,0,0,47,0,42,0,10,45
"oases3_k31_Locus_32403_Transcript_2_1",0,0,0,0,42.7487,0,0,0,0,0,0,0,25.6738,1.11222,150.771,15.3274,30.0728,13.53725
"oases3_k31_Locus_3245_Transcript_3_1",16,4,2,0,14,3,4,4,7,11,0,1,244,158,129,97,57,137
"oases3_k31_Locus_32514_Transcript_1_1",65,91,33,2,22,17,49,2,92,114,3,0,774,1123,20,15,9,517
"oases3_k31_Locus_32529_Transcript_1_1",0,40.2789,4.90562,3.97803,0,17.3949,9.71859,2.1807,0,79.4106,5,2.00962,161.287,0,0.00303737,0.00161874,0.00661019,104.4179
"oases3_k31_Locus_32536_Transcript_1_1",0,0,1,8,41,3,0,0,0,0,0,0,2,0,61,13,10,0
"oases3_k31_Locus_32578_Transcript_1_1",0,3,8,0,0,0,0,0,3,1,0,0,128,346,5,0,4,80
"oases3_k31_Locus_3257_Transcript_4_1",2.61621,0,0,5.37511,92.825,0.812497,0,16.4807,9.26437,126.696,1,16.421,0,0,0,0,0,0
"oases3_k31_Locus_3260_Transcript_2_1",54.7079,19,1,6,36,7,4,6,4,28,1,7.70609,371.677,119.764,176.082,158.55,63.9109,242.997
"oases3_k31_Locus_32632_Transcript_9_1",2,15,15,0,0,6,12,1,12,13,33,0,795,288,31,5,10,507
"oases3_k31_Locus_32640_Transcript_1_1",9,7,0,2,2,0,0,4,0,10,0,0,48,94,54,15,7,46
"oases3_k31_Locus_32649_Transcript_3_1",150,149,141,13,139,55,57,29,55,135,45,8,591,416,224.151,106,80,222.982
"oases3_k31_Locus_32656_Transcript_2_1",7,0,0,16,190,0,16,0,0,1,0,0,8,0,21,1,10,8
"oases3_k31_Locus_32676_Transcript_1_1",17,25,9,0,12,0,3,1,17,26,41,2,138,172,20,0,6,110
"oases3_k31_Locus_32744_Transcript_3_1",5.5733,12.3399,1,0,85.7105,0,0,0,0,26.4263,0,1.27588,301.538,170.976,186.477,27.9072,35.9164,305.879
"oases3_k31_Locus_3280_Transcript_2_1",187.779,30.4612,11.8505,19.4631,369.787,5,17,30.59,17.708,71.4616,54.88,29.6636,496.376,363.648,605.604,581.085,211.64,261.609
"oases3_k31_Locus_3283_Transcript_1_2",4.66786,0,0,5.81374,19.6617,3.55928,3,0,4,0,1,0,69.6731,66.6273,58.4564,31.8929,47.8743,72.618
"oases3_k31_Locus_32844_Transcript_1_1",0,3,1,0,0,0,0,0,0,0,0,0,28.8757,47.3612,0,1.3387,4,27.8211
"oases3_k31_Locus_3292_Transcript_4_1",331,360,58,30,192,218,53,35,69,141,0,79,895,544,679,672,287,557
"oases3_k31_Locus_32975_Transcript_1_1",0,0,0,4,26,16,13,0,0,1.10341,1,0,3.05512,0,4,0,1,0
"oases3_k31_Locus_3298_Transcript_3_1",15,2,0,9,27,0,0,1,0,2,0,2,237,5,238,16,219,84.1374
"oases3_k31_Locus_32998_Transcript_5_1",0,49,17,0,0,16,11.7366,4,26,90,16,1,915,456,7,1,9,403
"oases3_k31_Locus_33031_Transcript_1_1",0,6,0,1,2,3,0,0,0,11,0,0,118,9,3,0,1,15
"oases3_k31_Locus_33046_Transcript_4_1",11,1,21,2,5,3,15,1,33,5,0,0,93,40,23,18,6,39
"oases3_k31_Locus_3307_Transcript_7_1",48,38,2,8,106,3,12,29,0,69,2,12,289,372,307,170,104,223
"oases3_k31_Locus_33155_Transcript_1_1",0,2,0,0,2,3,0,0,0,0,0,0,16,19,23,30,12,31
"oases3_k31_Locus_3325_Transcript_2_1",99,48,8,3,74,7,2,3,7,36,1,3,339,600,459,356,88,195
"oases3_k31_Locus_3326_Transcript_16_2",5.72838,10.6317,0,3,13.4771,0,3.8403,3.44296,2.8293,9.1014,8,0,133.492,83.2935,75.1021,105.482,37.8314,108.4123
"oases3_k31_Locus_33293_Transcript_1_1",0,3,2,1,17,0,0,7,2,0,0,1,100,34,49,41,15,64
"oases3_k31_Locus_3329_Transcript_21_1",45.6267,167.084,40.4533,9,34,11.8918,36.9866,4,70,139.952,156,9,1131.31,930.238,198.614,154.883,100.0209,778.78
"oases3_k31_Locus_33320_Transcript_1_1",1,6,0,0,5,0,0,0,0,64,0,0,250,76,39,10,9,201
"oases3_k31_Locus_33332_Transcript_2_1",0,0,0,1,2,0,0,0,0,0,0,0,28,22,34,12,16,50
"oases3_k31_Locus_3333_Transcript_13_3",13,9,0,1,7,0,0,1,1,5,0,0,130.477,107.516,89,41.5106,37,83
"oases3_k31_Locus_33371_Transcript_1_1",17,2,0,0,30,0,1,1,0,4,0,0,53,44,29,18,6,47
"oases3_k31_Locus_33538_Transcript_5_1",0,14,1,0,2,37,7,0,3,14,0,1,4922.76,102,38,8,31,1664
"oases3_k31_Locus_33606_Transcript_1_1",19,23,11,5,7,3,1,9,3,28,0,5,283,280,52,48,5,197
"oases3_k31_Locus_3361_Transcript_7_1",8.40635,10.9583,0,5.22343,58.8654,0,1.29165,0,0,5.09325,0,1.22452,77.7159,22.3479,104.704,32.842,26.1794,85.6948
"oases3_k31_Locus_3370_Transcript_2_1",15.7243,5.192,1,6,108.268,3.06134,2,5,3,15.8635,0,1.08577,331.461,80.9965,217.519,67.3245,70.9102,242.541
"oases3_k31_Locus_33784_Transcript_2_1",14,4.02404,0,25.8872,39,6,2.02238,5,0,11.0147,54,4,0,0,0,0,1,0
"oases3_k31_Locus_33904_Transcript_1_1",12,122,1,4,11,20,2,7,1,110,1,4,911,519,80,27,13,671.906
"oases3_k31_Locus_33938_Transcript_1_1",5,16,1,0,2,1,0,0,0,60,0,0,134,65,4,5,0,131
"oases3_k31_Locus_3394_Transcript_1_1",6,0,0,0,1,0,0,3,0,0,0,1,0,1,97.0056,317.045,68,1
"oases3_k31_Locus_33958_Transcript_2_1",4.81442,3,3,2,6,3,0,7,0,3,0,1,270.653,50.9107,28.5203,1,8.98315,482.151
"oases3_k31_Locus_33960_Transcript_2_1",1,17,0,1,9,3,3,0,4,45,0,0,477,200,5,1,1,368
"oases3_k31_Locus_3397_Transcript_5_1",99,20,4,6,55,0,2,2,5,8,16,4,353,287,543,419,191,316
"oases3_k31_Locus_339_Transcript_5_1",223,7,0,11,190,0,1,3,0,4,2,5,182,198,958,632,264,181
"oases3_k31_Locus_34036_Transcript_1_1",0,0,3,0,5,0,2,0,1,4,0,0,26,24,3,0,1,63
"oases3_k31_Locus_34042_Transcript_2_1",0,4,2,0,0,0,0,0,0,0,0,1,63,172,14,89,3,17
"oases3_k31_Locus_3404_Transcript_4_1",3,5,0,1,16,1,0,0,0,0,0,4,190.26,177.745,146,226.151,40,176
"oases3_k31_Locus_34166_Transcript_1_1",0,0,0,3,17,0,0,0,0,1,0,0,49,36,39,172,5,32
"oases3_k31_Locus_34198_Transcript_1_1",3,3,0,0,3,0,0,0,0,0,0,0,76,71,66,65,28,47
"oases3_k31_Locus_34256_Transcript_4_1",0,0,0,0,5.18085,0,0,0,1,0,0,0,114.859,0,183.436,4.45355,34.0395,72.8915
"oases3_k31_Locus_34288_Transcript_1_1",15,4,1,1,103,0,3,2,1,9,0,0,347,245,305,236,119,280
"oases3_k31_Locus_34299_Transcript_2_1",0,0,0,3,0,0,0,0,0,0,0,0,61,24,6,18,4,24
"oases3_k31_Locus_34444_Transcript_3_1",96,41,18,40,396.529,6,35,2,14,91,65,11,159.147,77.0241,106.158,65.2124,39.0093,120
"oases3_k31_Locus_34456_Transcript_1_1",33.7635,23.96,1,26.2493,79.1393,0,2.54275,50.702,1,41.2036,0,21.8169,0,0,0,0,2,0
"oases3_k31_Locus_3445_Transcript_3_1",20,2,3,0,4.32e-07,3,1,0,1,1,0,0,15.0031,38.5117,24.3127,16.8476,17.04485,36.66822
"oases3_k31_Locus_34563_Transcript_1_1",2,0,0,0,2,0,0,3,0,0,0,0,29.4769,18.6755,16,11,6,15
"oases3_k31_Locus_3462_Transcript_6_1",2,5,2,1,8,0,1,0,0,1,0,0,381,308,223,217,100,271
