"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases2_CL10209Contig1_1",248.415,46,14,29.8734,254.76,5,11,27,32,45.679,46,22.6993,1777.56,1356.7,2045.82,2329.83,827.579,1017.562
"oases2_CL10211Contig1_1",340,129,39,21,373,21,32,28,54,158,31,36,1761,2224,1680,1655,548,1072
"oases2_CL10216Contig1_1",12.9883,6.48418,1,0,5.28858,0,0,28.0024,49.4358,208.489,64,0,23.6749,22.8257,39.1227,21.3038,14.02747,24.759
"oases2_CL10223Contig1_1",1378,228.739,84,64,946,33,36,86,50.3209,413,228,58.8045,3917.32,2470.45,3999.01,3179.07,1182.279,2611.04
"oases2_CL10224Contig1_1",1543,230,82,61,768,33,98,30,62,261,219,207,1037,495,933,1509,273,466
"oases2_CL10262Contig1_1",815.322,129.924,54.4806,41,1090.91,54,23,149.911,35,226,5,44,1844.06,1311.72,2617.71,1488.07,990.604,1430.977
"oases2_CL10275Contig1_1",2234.32,932.662,523.622,206.905,1840.09,28.3023,277.153,1007.55,476.523,2431.78,268,349.398,7494.92,7507.67,6985.24,4918.99,2427.51,4385.26
"oases2_CL1029Contig1_1",1,6,1,8,7,0,0,31,26,413,78,2,0,0,0,0,0,0
"oases2_CL102Contig2_1",89.1381,18,1,154.471,122.968,2,7,66.296,3,37.4692,45,25,0,1,3,3,34,0
"oases2_CL10301Contig1_1",26.5293,1.78212,2.17123,23.1787,633.575,6.42983,6.11524,12.1166,0,100.603,2,1.65935,537.734,0,571.608,20.3648,190.0575,188.6772
"oases2_CL10301Contig1_2",5.30174,2,2.09183,2.08919,22.2378,1.05222,1.00614,1.00997,6.08826,20.4454,66.4025,0,147.592,0,240.769,6.64922,194.7501,175.2401
"oases2_CL1030Contig1_1",47,39,6,12,48,13,27,47,62,131,28,26,34,8,41,16,29,19
"oases2_CL10323Contig1_1",251,45,14,17,312,23,19,8,10,139,46,24,657,230,984,465,444,541
"oases2_CL10327Contig1_1",27.2594,26.6931,0,3.09528,25.3243,0,0,3.53351,3,85.4038,113.965,6.9072,944.775,676.884,987.641,249.896,158.9561,647.937
"oases2_CL10329Contig1_1",5.30482,7.68192,6.20844,3.89327,15.2141,1,3.45675,18.731,9.00183,0,0,0,31.3933,47.8624,39.5467,104.47,48.3895,40.52683
"oases2_CL10330Contig1_1",231.962,51.6194,11.1462,26,110.334,17,18.7859,36.8559,39,69,91,9,1091.28,1064.64,909.731,914.389,437.871,773.729
"oases2_CL10345Contig1_1",957,3475,2477.4,831,1368,99,1155,391,3261,1378,1866,580,129.146,224.399,155,69,545.88,122.3659
"oases2_CL10345Contig1_2",2875,41513,230297,1629,2285,2019,88322,1454,116125,3529,86930,1412,219,250,63,31,119,449
"oases2_CL10345Contig1_3",426,1006,244,852,1330,80,462,419,1179,742,296,444,2970,4247,3889.97,2678.98,668,110
"oases2_CL10345Contig1_4",2199.23,4183.74,1377.35,1776.85,1656.76,584.968,1651.78,1570.27,2423.36,1732.02,940.88,1424.48,520.322,430.57,994.33,467.355,640.287,130.4672
"oases2_CL10346Contig1_1",4171,225,22,115,1258,19,18,196,24,299,197,181,6165,4404,16515.7,14303.6,4800,3433
"oases2_CL10353Contig1_1",2993.97,554.975,212.984,380.904,2527.96,92,189,348.973,233,1642.94,712,329.996,3274.62,2333.43,3537.73,3562.31,1289.396,1945.984
"oases2_CL10355Contig1_1",176.441,87.9972,10.9608,56.031,423.506,15.1081,24.5053,133.091,235.59,1253.6,336.403,28.1775,723.901,483.114,516.39,512.951,174.3323,551.785
"oases2_CL10360Contig1_2",48,11,5,4,174,7,6,14,0,68,1,8,281,240,172,382,56,238
"oases2_CL10361Contig1_1",1.011,1,0,2,2.00631,0,0,71.1959,51.233,145.915,278.242,0,0,1.0185,0,0,1.01108,0
"oases2_CL10365Contig1_1",818.179,183.246,111.877,38,931.886,20,38,202.44,65.3249,410.979,291,31,3847.11,4315.46,3516.16,3929.72,1188.882,2749.95
"oases2_CL10366Contig1_1",240.09,72,34,18.0448,255,21,20,26,25.132,121,112,16.0303,929.981,569.181,560.068,639.821,245.913,564.946
"oases2_CL10370Contig1_1",0,14.0731,0,1.74298,0,0,4.73419,3,20.941,32.4808,88,2,67.2122,28.6415,8.38866,0,5.75745,62.0118
"oases2_CL10373Contig1_1",141.874,87.881,7,39,77,9.75134,29.3284,49.8832,74,199.844,1,30.823,167.944,72.4748,102.232,83.5147,48.9121,73.1888
"oases2_CL10375Contig1_1",177.32,76.7003,51.3247,20.876,69.4308,9.16892,19.5007,12.4634,34.598,53.5123,77.9304,13.2948,476.045,189.032,360.388,255.666,120.8446,277.105
"oases2_CL10381Contig1_1",782,150,45,73,462,19,35,178,61,202,54,33,639,1000,2277,2096,1291,428
"oases2_CL10382Contig1_1",63.1416,82.5309,14.5001,16.1577,30.6646,1.22844,12.1058,55.7486,33.6363,111.153,0,76.3374,3.1403,12,0,4.78288,13.97882,0
"oases2_CL10389Contig1_1",249.47,14.6232,18.5742,17.2638,512.16,1,22.697,15.5256,12.5232,43.9081,154.521,23.673,68.5997,52.334,43.1281,76.2065,23.9435,62.3021
"oases2_CL10408Contig1_1",825.874,594.854,128.284,56.7713,1458.21,237.879,70.3588,56.3718,57.3571,485.71,77,34.2434,1825.48,1331.73,1813.92,1065.78,552.714,1466.223
"oases2_CL10409Contig1_1",592,1060,329,121,1552,54,472,87,805,2497,501,110,1453,2670,594,429,183,1301
"oases2_CL10418Contig1_1",153.669,40.6612,6.53958,4.5451,53.9432,9.9467,2.60514,23.1588,9.21554,28.7169,0,7.13381,305.646,251.914,210.908,140.582,82.824,272.129
"oases2_CL10422Contig1_1",11.3205,0,0,5.93515,5.93912,0,0,48.6205,8,109.208,10,5.95686,3,0,2,0,0,0
"oases2_CL10424Contig1_1",44,16,7,12,14,0,9,8,23,35,17,7,39,26,25,28,23,12
"oases2_CL10436Contig1_1",281,589,195,57,1077,100,72,63,54,548,98,21,2048,1198,1034,359,284,1070
"oases2_CL10440Contig1_1",110.275,102.736,42,3,14,1,1,54.9034,132.962,290.489,81,90.863,1.01478,15.182,3,19.1959,0,1
"oases2_CL1044Contig1_1",7.45759,2.06935,1,12.2871,40.0407,8.41339,9.79516,24.5319,19,324.045,0,2.11292,49.5148,3.56942,21.4969,7.65941,12.71712,30.9615
"oases2_CL10458Contig1_1",5.51873,1.41122,0,0,1.51606,0,0,19.1932,0,35.68,42,3.56621,41.9551,67.5951,24.847,88.8634,13.0092,42.4344
"oases2_CL10459Contig1_1",25,12,8,12,81,5,29,15,26,150,33,7,13,7,15,14,6,11.18841
"oases2_CL10464Contig1_1",272.881,68,8,22,252.532,13,13.7762,29.119,3.24298,187.486,146,8,803.942,438.433,576.062,464.063,233.7434,496.879
"oases2_CL10467Contig1_1",273.669,128.136,43.611,12.1234,57.1319,35.7053,8.37947,87.3595,45.667,90.7286,51,7.88021,1339.83,1058.22,515.388,527.259,251.729,722.886
"oases2_CL1046Contig1_1",26,11,2,31,35,3,7,18,1,4,49,8.37948,3,0,3,0,14,1
"oases2_CL10476Contig1_1",54.2166,44.1773,10.9239,3.77484,40.3171,13.4493,0.392742,6.21082,27,56.9062,62,4.92196,109.213,82.3831,85.8524,108.578,48.973,125.2009
"oases2_CL10479Contig1_1",2.49222,12.2613,8.36634,12.9483,69.5438,17.1029,7.53211,11.5499,11.8119,41.9892,1,2.31453,23.3055,9.36747,6.06555,9.32554,15.51988,83.6065
"oases2_CL1047Contig1_1",1254.24,167.073,40.0099,30,355,18,26.0221,77,66,453,144,84,1031.15,953.065,1487.16,1755.29,513.007,790.004
"oases2_CL1048Contig1_1",17.2925,36.0389,9.6677,9,43.4552,1.70013,38.481,13.241,23.6406,96.8945,1,27.55,21,4,5,11.9099,9.41824,11
"oases2_CL10498Contig1_1",238,81,26,56,337,15,24,170,20,164,33,26,671,623,1157,807,410,386
"oases2_CL10499Contig1_1",148,70,56,11,68,12,24,2,55,77,189,6,2886,2481,429,268,170,2340
"oases2_CL10504Contig1_1",22552,1325.12,1401.03,46448.7,129872,705.788,8595.92,144713,4248.58,31718.1,41763.3,60592.7,304.892,261.838,4612.14,10073,3376.75,216.011
"oases2_CL10505Contig1_1",142.847,51.8024,19,12.9537,138.383,20,8,17,20,58,109,13,1064,841.745,1103.13,736.805,264.285,534.104
"oases2_CL10509Contig1_1",4515,4897,2848,902,7150,1435,3912,1186,3493,15046,3193,2395,2456,3276,2069,2152,453,1169
"oases2_CL1050Contig1_1",48,17,2,38.0998,58,2,1,20,5,21,40,10,0,0,0,0,3,1
"oases2_CL10511Contig1_1",22,9,1,20,64,1,3,6,12,44,0,7,22,26,38,22,13,7
"oases2_CL10516Contig1_1",235.817,59,18,27,524.354,38,21,154,29,328.991,16,15,2870.7,788.485,920.356,862.001,450.872,1067.916
