Gene Flower Leaf Stem
TRINITY_DN70974_c0_g1_i1 0 0 0
TRINITY_DN70988_c0_g1_i1 0 0 0
TRINITY_DN70995_c0_g1_i1 -1 -1 0
TRINITY_DN73401_c0_g1_i1 0 0 0
TRINITY_DN73471_c0_g1_i1 0 -1 0
TRINITY_DN73440_c0_g1_i1 0 0 0
TRINITY_DN73433_c0_g1_i1 0 0 0
TRINITY_DN73424_c0_g1_i1 0 -1 0
TRINITY_DN73483_c0_g1_i1 0 0 0
TRINITY_DN73492_c0_g1_i1 1 0 0
TRINITY_DN73419_c0_g1_i1 0 0 0
TRINITY_DN73496_c0_g1_i1 -1 -1 0
TRINITY_DN73467_c0_g1_i1 0 -1 0
TRINITY_DN73410_c0_g1_i1 0 0 0
TRINITY_DN79143_c0_g1_i1 0 0 0
TRINITY_DN79193_c0_g1_i1 -1 0 0
TRINITY_DN79152_c0_g1_i1 0 0 0
TRINITY_DN79106_c0_g1_i1 0 0 0
TRINITY_DN79113_c0_g1_i1 0 0 0
TRINITY_DN79191_c0_g1_i1 0 0 0
TRINITY_DN79170_c0_g1_i1 0 0 0
TRINITY_DN79157_c0_g1_i1 0 0 0
TRINITY_DN79158_c0_g1_i1 0 0 0
TRINITY_DN79119_c0_g1_i1 0 0 0
TRINITY_DN79156_c0_g1_i1 0 0 0
TRINITY_DN79140_c0_g1_i1 0 0 0
TRINITY_DN79139_c0_g1_i1 0 0 0
TRINITY_DN79161_c0_g1_i1 0 0 0
TRINITY_DN79128_c0_g1_i1 0 0 0
TRINITY_DN79138_c0_g1_i1 -1 0 0
TRINITY_DN79123_c0_g1_i1 0 0 0
TRINITY_DN1160_c0_g2_i1 0 0 0
TRINITY_DN1142_c0_g1_i1 0 -1 0
TRINITY_DN1168_c0_g1_i1 1 0 0
TRINITY_DN1168_c0_g2_i1 0 0 0
TRINITY_DN1149_c0_g2_i2 0 0 0
TRINITY_DN1123_c0_g1_i1 0 0 0
TRINITY_DN1132_c0_g1_i1 0 0 0
TRINITY_DN1132_c0_g2_i1 0 0 0
TRINITY_DN1171_c0_g1_i1 1 0 0
TRINITY_DN1102_c0_g1_i1 0 0 0
TRINITY_DN1161_c0_g1_i1 0 0 0
TRINITY_DN1111_c0_g1_i1 0 0 0
TRINITY_DN1163_c0_g1_i1 0 0 0
TRINITY_DN1165_c0_g3_i1 0 -1 0
TRINITY_DN1197_c0_g1_i1 -1 -1 0
TRINITY_DN1121_c0_g1_i1 0 0 0
TRINITY_DN1106_c0_g1_i1 1 1 0
TRINITY_DN1189_c0_g2_i1 0 0 0
TRINITY_DN1177_c0_g1_i1 0 0 0
TRINITY_DN1154_c0_g1_i1 0 0 0
TRINITY_DN1100_c0_g1_i1 0 0 0
TRINITY_DN1193_c0_g1_i1 0 -1 0
TRINITY_DN1108_c0_g1_i1 0 0 0
TRINITY_DN1135_c0_g1_i1 0 0 0
TRINITY_DN1113_c0_g1_i1 -1 0 0
TRINITY_DN1127_c0_g1_i1 0 0 0
TRINITY_DN1145_c0_g1_i1 -1 -1 0
TRINITY_DN1105_c0_g1_i1 0 0 0
TRINITY_DN1190_c0_g1_i1 0 0 0
TRINITY_DN59893_c0_g1_i1 0 0 0
TRINITY_DN59802_c0_g1_i1 0 0 0
TRINITY_DN59828_c0_g1_i1 0 0 0
TRINITY_DN59869_c0_g1_i1 -1 0 0
TRINITY_DN59875_c0_g1_i1 0 0 0
TRINITY_DN59830_c0_g1_i1 0 0 0
TRINITY_DN59889_c0_g1_i1 0 0 0
TRINITY_DN59810_c0_g1_i1 0 0 0
TRINITY_DN83077_c0_g1_i1 0 -1 0
TRINITY_DN83006_c0_g1_i1 0 -1 0
TRINITY_DN83087_c0_g1_i1 0 0 0
TRINITY_DN83043_c0_g1_i1 0 0 0
TRINITY_DN83032_c0_g1_i1 0 0 0
TRINITY_DN83009_c0_g1_i1 0 0 0
TRINITY_DN83054_c0_g1_i1 0 0 0
TRINITY_DN8645_c0_g1_i1 -1 -1 0
TRINITY_DN8681_c0_g1_i1 -1 -1 0
TRINITY_DN8681_c0_g2_i1 0 0 0
TRINITY_DN8664_c0_g1_i1 0 0 0
TRINITY_DN8661_c0_g1_i1 0 0 0
TRINITY_DN8661_c0_g2_i1 0 0 0
TRINITY_DN8640_c0_g2_i1 0 -1 0
TRINITY_DN8663_c0_g1_i1 1 0 0
TRINITY_DN8691_c0_g1_i1 0 0 0
TRINITY_DN8604_c0_g1_i1 0 0 0
TRINITY_DN8637_c0_g1_i1 0 0 0
TRINITY_DN8627_c0_g1_i1 0 0 0
TRINITY_DN8682_c0_g1_i1 0 0 0
TRINITY_DN8618_c0_g1_i1 0 0 0
TRINITY_DN8619_c0_g1_i1 0 0 0
TRINITY_DN8697_c0_g1_i1 0 0 0
TRINITY_DN8636_c0_g1_i1 0 0 0
TRINITY_DN8632_c0_g2_i1 0 0 0
TRINITY_DN8662_c0_g1_i1 0 0 0
TRINITY_DN8621_c0_g1_i1 0 0 0
TRINITY_DN8638_c0_g1_i1 0 0 0
TRINITY_DN8677_c0_g1_i1 0 0 0
TRINITY_DN8686_c0_g1_i1 0 0 0
